,subject,title,description,outcomes,skills,hours,institute,level,Languages,url,img_url
10,Business,Project Practicum with Multiple Projects,"Managing multiple projects presents different and additional challenges when compared with the management of a single project. This advanced hands-on course builds on the project managers’ previously acquired knowledge and skills in the areas of scope, time, cost, risk, human resources, leadership, and teambuilding through a combination of videos, discussions, and team-based learning exercises.This capstone course lets you put into practice the project process groups and knowledge areas that are outlined in the Project Management Body of Knowledge Guide (PMBOK® Guide) and expands it to those required to management multiple projects.

These skills include delivering appropriate and timely communications and applying advanced, effective management skills. You'll learn how to oversee multiple stakeholders; prioritize tasks; and allocate resources efficiently. You'll explore scheduling techniques that allow you to balance resource utilization with project risks and achieve a desired level of responsiveness that can lead to a schedule that ensures optimal stakeholder satisfaction.  The basics of portfolio management, program management, and Scrum Agile project management techniques are also covered.

Group Work:
You will be assigned to a Coursera team for the group project. Given the class size, the number and size of the groups may vary. You may see additional members join or drop from your group as they register or opt to not continue for this course. Thus, it is important to understand that just as in real-life project teams, you will be expected to manage the completion of the project activities with a possible team member changes.SHOW ALL COURSE OUTLINESHOW ALL",NA,NA,49,"University of California, Irvine",Beginner Level,English-English,https://www.coursera.org/learn/project-practicum-with-multiple-projects,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1f/f02850f21011e6ae201f57355a6e71/multiple1image.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
11,Business,Fundamentals of Quantitative Modeling,"How can you put data to work for you? Specifically, how can numbers in a spreadsheet tell us about present and past business activities, and how can we use them to forecast the future? The answer is in building quantitative models, and this course is designed to help you understand the fundamentals of this critical, foundational, business skill. Through a series of short lectures, demonstrations, and assignments, you’ll learn the key ideas and process of quantitative modeling so that you can begin to create your own models for your own business or enterprise. By the end of this course, you will have seen a variety of practical commonly used quantitative models as well as the building blocks that will allow you to start structuring your own models. These building blocks will be put to use in the other courses in this Specialization.SHOW ALL COURSE OUTLINESHOW ALL",NA,Modeling. Linear Regression. Probabilistic Models. Regression Analysis,8,University of Pennsylvania,100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/wharton-quantitative-modeling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/d37630b00511e5ae9d8158e68cbd96/Wharton_Online_Quantitative_8x8.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
12,Physical Science and Engineering,Introdução ao Controle de Sistemas,"Este curso apresenta os principais conceitos do controle de sistemas e mostra suas vantagens e importância para a sociedade moderna. Você vai entender o que é o controle de sistemas e como o controle com realimentação funciona, e passará a perceber a sua presença em diversas situações em seu dia-a-dia, na natureza, no corpo humano e em diversos dispositivos, desde os mais simples até os mais complexos.Você vai perceber a necessidade de modelos teóricos para a análise e o projeto do controle de sistemas e aprenderá como verificar se um sistema atende a determinados requisitos de desempenho. Você também aprenderá como projetar um controle simples de modo a obter o melhor desempenho possível de um sistema de controle. Este é apenas o primeiro passo em direção a um vasto campo do conhecimento e lhe dará a base e a segurança necessárias para avançar em seus estudos no maravilhoso mundo do controle de sistemas.",NA,NA,19,Instituto Tecnológico de Aeronáutica,100% onlineStart instantly and learn at your own schedule.,Portuguese (Brazilian)-Portuguese (Brazilian),https://www.coursera.org/learn/controle,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/9c2770d42711e5887797ab42779797/Controle00.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
13,Physical Science and Engineering,Astronomy: Exploring Time and Space,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,NA,Solar Systems. Chemistry. Theory Of Relativity. Astrobiology,43,University of Arizona,Beginner Level,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/astro,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/60/b710e050cf11e4809c3338dc5f4ac8/CourseImage.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
14,Physical Science and Engineering,Wind Energy,"How tall is a modern wind turbine and how can it possibly generate power from the wind? This course gives an overview of key aspects in wind energy engineering. Whether you are looking for general insight in this green technology or your ambition is to pursue a career in wind energy engineering, 'Wind Energy' is an excellent starting point. Experts located in the wind pioneering country of Denmark will take you on a tour through the most fundamental disciplines of wind energy research such as wind measurements and resource assessment, aerodynamics, wind turbine technology, structural mechanics, materials, financial and electrical systems. 

You will gain a rational understanding of wind energy engineering and, through hands-on exercises, you will learn to perform wind energy calculations based on simple models. Working with the different course disciplines will give you a taste of what wind energy engineering is all about. This allows you to identify the most interesting or relevant aspects of wind energy engineering to be pursued in your future studies or in your professional career.

View our video: https://youtu.be/he4UWTGHxrY

For other professional courses in wind energy engineering, visit our website at www.wem.dtu.dkSHOW ALL COURSE OUTLINESHOW ALL",NA,Wind Energy. Materials. Wind Power. Wind Energy Engineering,36,Technical University of Denmark (DTU),100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/wind-energy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/3c/557390204a11e5a27e85d1eb9a6dc8/GreenMountainWindFarm_Fluvanna_2004.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
15,Physical Science and Engineering,Introduction to Electronics,"This course introduces students to the basic components of electronics: diodes, transistors, and op amps.  It covers the basic operation and some common applications.",NA,NA,46,Georgia Institute of Technology,100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/electronics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e5/0eac7034c311e69ed8b50c8afbcd7c/IntroductionElectronics.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
16,Physical Science and Engineering,Circular Economy - Sustainable Materials Management,"This course looks at where important materials in products we use every day come from and how these materials can be used more efficiently, longer, and in closed loops. This is the aim of the Circular Economy, but it doesn’t happen on its own. It is the result of choices and strategies by suppliers, designers, businesses, policymakers and all of us as consumers. In addition to providing many cases of managing materials for sustainability, the course also teaches skills and tools for analyzing circular business models and promotes development of your own ideas to become more involved in the transition to a Circular Economy.

You will learn from expert researchers and practitioners from around Europe as they explain core elements and challenges in the transition to a circular economy over the course of 5 modules:

Module 1: Materials. This module explores where materials come from, and builds a rationale for why society needs more circularity. 

Module 2: Circular Business Models. In this module circular business models are explored in-depth and a range of ways for business to create economic and social value are discussed.

Module 3: Circular Design, Innovation and Assessment. This module presents topics like functional materials and eco-design as well as methods to assess environmental impacts.

Module 4: Policies and Networks. This module explores the role of governments and networks and how policies and sharing best practices can enable the circular economy.

Module 5: Circular Societies. This module examines new norms, forms of engagement, social systems, and institutions, needed by the circular economy and how we, as individuals, can help society become more circular.

This course is brought to you by: 
LUND UNIVERSITY
INTERNATIONAL INSTITUTE FOR INDUSTRIAL ENVIRONMENTAL ECONOMICS (IIIEE)
EIT RAWMATERIALS
VITO
GEOLOGICAL SURVEY OF DENMARK AND GREENLAND
NATIONAL TECHNICAL UNIVERSITY OF ATHENS
GHENT UNIVERSITY
DELFT UNIVERSITY OF TECHNOLOGYSHOW ALL COURSE OUTLINESHOW ALL",NA,Business Model. Environmental Policy. Business Analysis. Material Design. Policy Analysis,19,Lund University,Beginner Level,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/circular-economy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a9/11e7e0cb0811e8bfa2513c8e403f41/CE-MOOC-final-image-ALT.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
17,Physical Science and Engineering,Introduction to Embedded Systems Software and Development Environments,"Welcome to the Introduction to Embedded Systems Software and Development Environments. This course is focused on giving you real world coding experience and hands on project work with ARM based Microcontrollers. You will learn how to implement software configuration management and develop embedded software applications. Course assignments include creating a build system using the GNU Toolchain GCC, using Git version control, and developing software in Linux on a Virtual Machine. The course concludes with a project where you will create your own build system and firmware that can manipulate memory.The second course in this 2 course series , Embedded Software and Hardware Architecture,  will use hardware tools to program and debug microcontrollers with bare-metal firmware. Using a Texas Instruments MSP432 Development Kit, you will configure a variety of peripherals, write numerous programs, and see your work execute on your own embedded platform!SHOW ALL COURSE OUTLINESHOW ALL",NA,Makefile. C Programming. Embedded C,9,University of Colorado Boulder,Intermediate Level,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/introduction-embedded-systems,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b9/4b62a005be11e7a624372bb8972ebf/IMG_20170302_144335-01.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
18,Physical Science and Engineering,Introduction to Sustainability,"This course introduces the academic approach of Sustainability and explores how today’s human societies can endure in the face of global change, ecosystem degradation and resource limitations. The course focuses on key knowledge areas of sustainability theory and practice, including population, ecosystems, global change, energy, agriculture, water, environmental economics and policy, ethics, and cultural history.This subject is of vital importance, seeking as it does to uncover the principles of the long-term welfare of all the peoples of the planet. As sustainability is a cross-disciplinary field of study, this foundation requires intellectual breadth: as I describe it in the class text, understanding our motivations requires the humanities, measuring the challenges of sustainability requires knowledge of the sciences (both natural and social), and building solutions requires technical insight into systems (such as provided by engineering, planning, and management).",NA,NA,25,University of Illinois at Urbana-Champaign,100% onlineStart instantly and learn at your own schedule.,"English-Tamil, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/sustainability,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/sustain/large-icon.png?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
19,Physical Science and Engineering,Introduction to Engineering Mechanics,"This course is an introduction to learning and applying the principles required to solve engineering mechanics problems.   Concepts will be applied in this course from previous courses you have taken in basic math and physics.  The course addresses the modeling and analysis of static equilibrium problems with an emphasis on real world engineering applications and problem solving.The copyright of all content and materials in this course are owned by either the Georgia Tech Research Corporation or Dr. Wayne Whiteman.  By participating in the course or using the content or materials, whether in whole or in part, you agree that you may download and use any content and/or material in this course for your own personal, non-commercial use only in a manner consistent with a student of any academic course.  Any other use of the content and materials, including use by other academic universities or entities, is prohibited without express written permission of the Georgia Tech Research Corporation.  Interested parties may contact Dr. Wayne Whiteman directly for information regarding the procedure to obtain a non-exclusive license.SHOW ALL COURSE OUTLINESHOW ALL",NA,NA,15,Georgia Institute of Technology,100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/engineering-mechanics-statics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d7/60ad90371f11e6a6a20b6ff5b84324/Introduction_EngineeringMechanicsIcon.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
20,Physical Science and Engineering,Materials Science: 10 Things Every Engineer Should Know,"We explore “10 things” that range from the menu of materials available to engineers in their profession to the many mechanical and electrical properties of materials important to their use in various engineering fields. We also discuss the principles behind the manufacturing of those materials.By the end of the course, you will be able to:
* Recognize the important aspects of the materials used in modern engineering applications,
* Explain the underlying principle of materials science: “structure leads to properties,”
* Identify the role of thermally activated processes in many of these important “things” – as illustrated by the Arrhenius relationship.
* Relate each of these topics to issues that have arisen (or potentially could arise) in your life and work.

If you would like to explore the topic in more depth you may purchase Dr. Shackelford's Textbook:
J.F. Shackelford, Introduction to Materials Science for Engineers, Eighth Edition, Pearson Prentice-Hall, Upper
Saddle River, NJ, 2015SHOW ALL COURSE OUTLINESHOW ALL",NA,Materials. Mechanical Engineering. Engineering Design. Electrical Engineering,9,"University of California, Davis",100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/materials-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6f/fb36708fc211e59a7b49ee96ddb810/thumbnail.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
21,Physical Science and Engineering,Solar Energy Basics,"This course gives you an introduction to the fundamentals of solar power as it applies to solar panel system installations. You will learn to compare solar energy to other energy resources and explain how solar panels, or photovoltaics (PV for short), convert sunlight to electricity.  You will be able to identify the key components needed in a basic photovoltaic (solar panel) system, such as is found on a house or building, and explain the function of each component in the system. You will also learn how to calculate the electrical demand of a building, how to reduce the overall demand, and then how to design a solar panel system that can meet that annual demand at a given location. You will also compare the different types of pricing models that are being used and key regulatory considerations for grid tied systems (where a house or building is connected to the electrical grid and also generates electricity from solar panels). A capstone design project that entails both the simple audit of a building to determine demand, and a selection of components to design a solar panel system to meet that demand.SHOW ALL COURSE OUTLINESHOW ALL",Calculate the energy usage at a location. Design a basic photovoltaic system to meet a specific energy need at a specific location. Describe financial models and trends in the photovoltaic energy field,Renewable Energy. Power & energy calculations. Electronic Circuits. Solar Energy. Energy Audits,15,The State University of New York,"Beginner LevelSome calculations are required when planning for solar power, so you'll want to be comfortable with basic math operations (+,-,x,/) and percentages.","English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/solar-energy-basics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c4/6953c0dea411e8be8f9f7df509b829/photovoltaic-system-2742302-pixabay-CC0_cropped.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
22,Physical Science and Engineering,Introdução ao Controle de Sistemas,"Este curso apresenta os principais conceitos do controle de sistemas e mostra suas vantagens e importância para a sociedade moderna. Você vai entender o que é o controle de sistemas e como o controle com realimentação funciona, e passará a perceber a sua presença em diversas situações em seu dia-a-dia, na natureza, no corpo humano e em diversos dispositivos, desde os mais simples até os mais complexos.Você vai perceber a necessidade de modelos teóricos para a análise e o projeto do controle de sistemas e aprenderá como verificar se um sistema atende a determinados requisitos de desempenho. Você também aprenderá como projetar um controle simples de modo a obter o melhor desempenho possível de um sistema de controle. Este é apenas o primeiro passo em direção a um vasto campo do conhecimento e lhe dará a base e a segurança necessárias para avançar em seus estudos no maravilhoso mundo do controle de sistemas.",NA,NA,19,Instituto Tecnológico de Aeronáutica,100% onlineStart instantly and learn at your own schedule.,Portuguese (Brazilian)-Portuguese (Brazilian),https://www.coursera.org/learn/controle,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/9c2770d42711e5887797ab42779797/Controle00.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
23,Physical Science and Engineering,Astronomy: Exploring Time and Space,This course is designed for anyone who is interested in learning more about modern astronomy. We will help you get up to date on the most recent astronomical discoveries while also providing support at an introductory level for those who have no background in science.,NA,Solar Systems. Chemistry. Theory Of Relativity. Astrobiology,43,University of Arizona,Beginner Level,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/astro,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/60/b710e050cf11e4809c3338dc5f4ac8/CourseImage.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
